회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
LIG넥스원,079550,무기 및 총포탄 제조업,정밀유도무기 등,2015-10-02,12월,김지찬,http://www.lignex1.com,경기도
이노션,214320,광고업,광고대행 및 광고물의 제작 등,2015-07-17,12월,안건희,http://www.innocean.com,서울특별시
삼성물산,028260,기타 전문 도매업,"도소매, 건설, 남자용 정장 제조업 등",2014-12-18,12월,"이영호, 고정석, 정금용",http://www.samsungcnt.com,서울특별시
삼성에스디에스,018260,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","IT서비스, 물류BPO",2014-11-14,12월,홍원표,http://www.samsungsds.com,서울특별시
만도,204320,자동차 신품 부품 제조업,"제동장치, 조향장치, 현가장치",2014-10-06,12월,"정몽원, 탁일환, 김광헌 (각자 대표이사)",http://www.mando.com,경기도
쿠쿠홀딩스,192400,기타 금융업,주방용 전기기기 제조업,2014-08-06,12월,구본학,http://www.cuckoo.co.kr,경상남도
BGF,027410,기타 금융업,지주회사,2014-05-19,12월,홍정국,http://www.bgf.co.kr,서울특별시
코스맥스,192820,기타 화학제품 제조업,화장품,2014-04-07,12월,"최 경, 이병만",http://www.cosmax.com,경기도
종근당,185750,의약품 제조업,"딜라트렌,리피로우",2013-12-06,12월,김영주,http://www.ckdpharm.com,서울특별시
현대로템,064350,철도장비 제조업,"철도차량, 특수중기, 산업기계",2013-10-30,12월,이용배,http://www.hyundai-rotem.co.kr,경상남도
동아에스티,170900,의약품 제조업,"스티렌, 자이데나",2013-04-08,12월,엄대식 (단독대표),http://www.donga.co.kr,서울특별시
한국콜마,161890,기타 화학제품 제조업,"화장품, 의약품",2012-10-19,12월,"윤상현, 이호경, 안병준",,세종특별자치시
한국타이어앤테크놀로지,161390,고무제품 제조업,타이어 제조,2012-10-04,12월,"조현범,이수일",http://kr.hankooktire.com,경기도
GS리테일,007070,종합 소매업,"체인화 편의점,슈퍼마켓,마트,전자상거래/부동산(빌딩) 임대",2011-12-23,12월,허연수,http://www.gsretail.com,서울특별시
삼양사,145990,기타 식품 제조업,설탕,2011-12-05,12월,"박순철, 송자량",http://www.samyangcorp.com,서울특별시
신세계인터내셔날,031430,"섬유, 의복, 신발 및 가죽제품 소매업","섬유, 의복, 신발 및 가죽제품 소매",2011-07-14,12월,"장재영, 이길한, 손문국 (각자대표)",http://www.sikorea.co.kr,서울특별시
한국항공우주,047810,"항공기,우주선 및 부품 제조업","정부방산 및 완제기 수출(T-50계열, KUH계열, KT-1계열 등), 기체부품",2011-06-30,12월,안현호,http://www.koreaaero.com,경상남도
롯데하이마트,071840,가전제품 및 정보통신장비 소매업,"가전제품,잡화 도소매/부동산 임대",2011-06-29,12월,이동우,http://www.himart.co.kr/index.jsp,서울특별시
이마트,139480,종합 소매업,대형마트,2011-06-10,12월,강희석,http://emartcompany.comkomain.do,서울특별시
BNK금융지주,138930,기타 금융업,금융지주회사,2011-03-30,12월,김지완,http://www.bnkfg.com,부산광역시
일진머티리얼즈,020150,전자부품 제조업,"인쇄회로기판(PCB)용 전해동박(ACF,UCF),에폭시용 동박,전해콘덴서용 알루미늄박 제조,판매",2011-03-04,12월,"허재명,주재환",http://www.iljinm.co.kr,전라북도
현대위아,011210,자동차 신품 부품 제조업,"자동차부품, 공작기계 등",2011-02-21,12월,김경배,http://www.hyundai-wia.com,경상남도
